GENDER,OWN_CAR,OWN_REALTY,CNT_CHILDREN,AMT_INCOME_TOTAL,EDUCATION,CNT_FAM_MEMBERS,AVERGE_STATUS,Civil marriage,Married,Separated,Single / not married,Widow,DAYS_BIRTH_NORMALIZED,DAYS_EMPLOYED_NORMALIZED
-1,1,1,0,540000.0,3,2.0,1.0,0,1,0,0,0,-0.06503276618498352,-0.4678822451167127
-1,1,-1,0,180000.0,1,2.0,1.0,0,1,0,0,0,0.7955688332248319,-0.3841730710473548
1,-1,1,0,360000.0,1,2.0,0.21428571428571427,0,1,0,0,0,0.5067971208917458,-0.459538599343488
1,-1,1,0,90000.0,1,2.0,0.7142857142857143,1,0,0,0,0,0.11518173194869012,-0.46405684568534905
1,1,1,0,202500.0,1,2.0,1.0,0,1,0,0,0,0.9519769247358273,-0.4675505630850916
-1,-1,1,0,126000.0,1,2.0,0.5,1,0,0,0,0,-1.3229632921272974,-0.45432750609112943
1,1,1,0,270000.0,1,2.0,0.29545454545454547,0,1,0,0,0,-0.885163474336246,-0.4584624754186728
-1,-1,1,0,196650.0,1,2.0,1.0,0,1,0,0,0,1.2950272441686195,-0.4490205935851915
-1,1,1,0,67500.0,1,2.0,0.38095238095238093,0,1,0,0,0,-0.7489908284545269,-0.4579760084389618
1,-1,-1,1,360000.0,3,3.0,0.639344262295082,0,1,0,0,0,-1.1577468301659108,-0.4657889629615927
1,1,1,0,247500.0,1,1.0,0.4,0,0,1,0,0,1.2490808793868506,-0.44599860174153233
-1,-1,1,0,180000.0,1,2.0,0.3,0,1,0,0,0,0.5865485830777176,-0.4489174036197982
-1,1,1,1,225000.0,1,3.0,0.18181818181818182,1,0,0,0,0,-0.12669135933771994,-0.46710832037626343
1,1,1,0,207000.0,1,1.0,1.0,0,0,0,1,0,-0.5690143943870801,-0.4331145974910051
-1,-1,1,0,225000.0,1,2.0,1.0,0,1,0,0,0,1.8528113513379687,2.2228550682064934
-1,-1,-1,0,202500.0,3,2.0,0.21739130434782608,0,1,0,0,0,0.3092039459235171,-0.45931010727726007
1,-1,1,1,157500.0,1,3.0,1.0,0,1,0,0,0,-0.8070784606138617,-0.4665407755666006
1,1,1,1,405000.0,1,3.0,1.0,0,1,0,0,0,0.127322999326256,-0.4638578364663764
-1,1,-1,0,112500.0,1,2.0,0.3170731707317073,0,1,0,0,0,0.6458265355681863,-0.4542906525320604
-1,-1,1,1,225000.0,3,3.0,1.0,0,1,0,0,0,-0.060747612992901455,-0.45031046815260695
1,-1,1,1,202500.0,3,2.0,1.0,0,0,1,0,0,0.5022739036334369,-0.4603641190666339
-1,-1,-1,0,94500.0,1,2.0,0.22641509433962265,0,1,0,0,0,0.6517781372238558,-0.44251225505360364
-1,-1,1,0,270000.0,1,2.0,1.0,0,1,0,0,0,-0.19025446502027063,-0.4169137729242666
1,1,1,1,427500.0,1,3.0,1.0,0,1,0,0,0,-0.9720568585090213,-0.4505021066597658
1,1,1,0,292500.0,3,2.0,0.6666666666666666,1,0,0,0,0,0.14232103549854322,-0.45733475651116096
1,-1,1,0,157500.0,1,1.0,0.10714285714285714,0,0,0,1,0,1.101719222392473,-0.460585240421048
1,1,-1,0,225000.0,1,2.0,1.0,0,1,0,0,0,-1.4296159937968955,-0.45955334076711557
-1,-1,1,1,157500.0,1,3.0,0.1,0,1,0,0,0,-0.34880513312730715,-0.4412002683507467
-1,1,1,0,180000.0,1,1.0,1.0,0,0,1,0,0,1.3116917288044943,2.2228550682064934
1,1,1,0,90000.0,1,2.0,1.0,0,1,0,0,0,-1.1425107299273969,-0.4465514051275675
1,1,1,0,112500.0,1,2.0,1.0,0,1,0,0,0,-1.717911577997528,-0.45865411392583166
-1,-1,1,1,121500.0,1,3.0,1.0,0,1,0,0,0,-0.5921066088110779,-0.4596270478852536
-1,1,-1,0,202500.0,1,2.0,1.0,1,0,0,0,0,-0.41593919980325955,-0.4299599328346975
-1,-1,1,1,135000.0,3,2.0,0.7307692307692307,0,0,1,0,0,0.08970887686242449,-0.4414435018406022
-1,1,-1,2,270000.0,1,4.0,0.09090909090909091,0,1,0,0,0,-0.6468613440432377,-0.4522931896305199
-1,-1,1,0,306000.0,1,2.0,1.0,0,1,0,0,0,0.702723847396387,-0.4472958470207616
1,1,1,1,315000.0,3,2.0,0.0,0,0,1,0,0,0.04542896054424312,-0.45059055520153146
-1,-1,1,1,180000.0,3,3.0,1.0,0,1,0,0,0,-1.6153059654537851,-0.46236895267998823
1,1,-1,0,247500.0,2,1.0,1.0,0,0,1,0,0,-1.3343903673061828,-0.45782122349087195
1,1,-1,0,135000.0,1,1.0,0.23076923076923078,0,0,0,1,0,-1.4348534032538847,-0.4662901713649313
-1,-1,1,1,337500.0,1,3.0,1.0,0,1,0,0,0,-0.7582753270373714,-0.44470872717411686
-1,-1,-1,0,270000.0,1,2.0,1.0,0,1,0,0,0,0.17803064543256045,-0.46399787999083864
1,-1,1,0,162000.0,1,1.0,0.17857142857142858,0,0,0,1,0,-1.0665682928010536,-0.4649634432384468
-1,-1,1,0,202500.0,1,1.0,0.125,0,0,0,0,1,1.403584458368032,2.2228550682064934
-1,1,-1,0,562500.0,3,2.0,1.0,0,1,0,0,0,-0.31452390759065063,-0.4483424880983216
-1,1,1,0,157500.0,1,2.0,1.0,0,1,0,0,0,-0.9684858975156195,-0.44722213990262355
-1,-1,1,0,103500.0,1,2.0,0.07142857142857142,0,1,0,0,0,1.545232577772967,-0.3743847657586247
-1,-1,1,0,270000.0,3,2.0,1.0,0,1,0,0,0,-0.8770692960845354,-0.4614844672623319
-1,-1,1,0,103500.0,1,2.0,1.0,0,1,0,0,0,1.545232577772967,-0.3743847657586247
-1,-1,-1,0,157500.0,1,1.0,1.0,0,0,0,1,0,-1.5276983890823295,-0.4531776750481762
-1,-1,-1,1,202500.0,1,3.0,1.0,0,1,0,0,0,-0.7297076390901577,-0.4570030744795398
-1,-1,1,0,216000.0,1,2.0,0.3,0,1,0,0,0,0.6179730398196528,-0.447354812715272
-1,-1,1,0,202500.0,1,2.0,0.20689655172413793,0,1,0,0,0,0.6610626358067002,2.2228550682064934
-1,-1,1,1,90000.0,3,2.0,0.16666666666666666,0,0,0,1,0,0.042572191749521746,-0.4531924164718038
1,1,-1,0,180000.0,1,2.0,0.5862068965517241,0,1,0,0,0,-0.3197613170476398,-0.46533197882913696
-1,1,1,1,180000.0,1,2.0,0.4,0,0,1,0,0,-0.39189472911435463,-0.4236948277929652
1,1,1,1,225000.0,3,2.0,1.0,0,0,1,0,0,0.2927775253538692,-0.45409901402490155
-1,-1,1,0,225000.0,1,2.0,1.0,1,0,0,0,0,-0.5940111213408922,-0.4301810541891116
1,-1,1,0,90000.0,1,1.0,1.0,0,0,0,1,0,-0.8565957863890322,-0.44560795401540076
-1,-1,1,2,243000.0,3,4.0,0.46153846153846156,0,1,0,0,0,-1.3803367320879516,-0.44422226019440586
1,-1,1,1,202500.0,1,2.0,1.0,0,0,1,0,0,-0.841597750216745,-0.46553835875992344
-1,1,-1,0,337500.0,3,2.0,0.76,0,1,0,0,0,-0.7497050206532073,-0.43166256726368596
-1,-1,1,0,225000.0,2,1.0,0.1590909090909091,0,0,0,1,0,-0.4630758849161623,-0.4539515997886255
-1,-1,-1,0,234000.0,3,2.0,0.5333333333333333,1,0,0,0,0,1.426438608725803,-0.43080756469328485
1,1,1,0,225000.0,3,2.0,0.47619047619047616,0,1,0,0,0,-1.2791595039415695,-0.46570051441982707
1,1,1,0,180000.0,1,2.0,0.029411764705882353,0,1,0,0,0,0.2301666759362256,-0.4568630309550776
-1,-1,1,1,202500.0,3,3.0,0.6666666666666666,0,1,0,0,0,0.4168089038580224,-0.44072117208284955
-1,-1,1,0,202500.0,3,2.0,1.0,0,1,0,0,0,0.6967722457407175,-0.4054965403246862
-1,1,1,0,382500.0,3,2.0,0.5,0,1,0,0,0,0.9710220500339699,-0.4218742619749559
1,1,-1,0,292500.0,1,2.0,1.0,0,1,0,0,0,1.1662345843399307,-0.4491827492450951
1,1,1,0,247500.0,3,2.0,1.0,0,1,0,0,0,0.03614446196139864,-0.43405067789135804
1,1,1,0,202500.0,1,2.0,1.0,0,1,0,0,0,0.9676891531067949,-0.45440858392108124
1,-1,1,0,225000.0,3,2.0,0.12244897959183673,0,1,0,0,0,1.4545301685405632,-0.44871839440082556
-1,1,1,0,135000.0,3,2.0,1.0,0,1,0,0,0,-0.1207397576820504,-0.4336158058943437
-1,-1,1,0,90000.0,1,2.0,0.2857142857142857,0,1,0,0,0,0.41252375066594027,-0.4283015226765919
1,1,1,0,135000.0,1,2.0,1.0,0,1,0,0,0,0.07042568749805518,-0.44631554234952586
-1,1,-1,0,180000.0,3,1.0,1.0,0,0,1,0,0,1.8159114210728176,2.2228550682064934
-1,1,-1,1,180000.0,1,3.0,1.0,0,1,0,0,0,0.37681414073192304,-0.45596380411379367
-1,-1,-1,0,157500.0,3,2.0,1.0,0,1,0,0,0,-1.044428334641963,-0.4633418866394102
1,1,-1,0,157500.0,2,2.0,1.0,0,1,0,0,0,-1.6310181938247528,-0.4621699434610156
-1,1,1,0,135000.0,3,2.0,1.0,0,1,0,0,0,-0.4202243529953416,-0.4609316638762967
-1,-1,1,0,90000.0,1,2.0,1.0,0,1,0,0,0,1.7259232040390942,2.2228550682064934
-1,-1,-1,0,157500.0,1,1.0,1.0,0,0,0,1,0,-1.5127003529100422,-0.4562070376036491
1,1,-1,0,99000.0,1,2.0,1.0,0,1,0,0,0,0.8231842649071385,-0.465405685947275
1,1,1,0,180000.0,1,2.0,1.0,0,1,0,0,0,0.47608685634849096,-0.4436252325374878
-1,-1,1,1,234000.0,1,2.0,0.32727272727272727,0,0,0,1,0,1.1231449883528832,-0.4100147866665473
1,1,-1,0,292500.0,3,2.0,0.75,0,1,0,0,0,0.5094158256202403,-0.46399050927902485
1,-1,1,0,112500.0,1,1.0,1.0,0,0,0,1,0,0.4753726641498106,-0.45511617225520634
1,-1,1,0,144000.0,1,2.0,0.11320754716981132,0,1,0,0,0,1.3507342356656864,-0.44713369136085795
-1,-1,1,0,144000.0,1,2.0,1.0,0,1,0,0,0,1.5511841794286365,2.2228550682064934
-1,-1,1,0,99000.0,1,1.0,1.0,0,0,0,0,1,1.357638093586263,-0.4601135148649646
-1,-1,-1,0,112500.0,1,2.0,1.0,0,1,0,0,0,0.8631790280332378,-0.4633787401984792
-1,-1,-1,0,225000.0,1,2.0,1.0,1,0,0,0,0,0.8362777885496114,-0.4462565766550154
-1,-1,1,0,225000.0,3,2.0,1.0,1,0,0,0,0,-0.766369505289082,-0.4606294646919308
-1,1,1,0,157500.0,1,2.0,1.0,0,1,0,0,0,-0.39165666504812785,-0.45497612873074406
-1,-1,1,0,193500.0,3,2.0,1.0,0,1,0,0,0,-1.1548900613711894,-0.4607031718100688
1,1,1,1,144000.0,1,3.0,0.2,0,1,0,0,0,-0.5871072634203155,-0.46166873505767697
-1,1,1,0,225000.0,3,2.0,1.0,0,1,0,0,0,-1.0220503124166453,-0.4435367839957222
1,1,-1,0,180000.0,2,2.0,1.0,0,1,0,0,0,-1.0172890310921099,-0.4427481178316453
-1,1,1,1,360000.0,3,3.0,1.0,0,1,0,0,0,-1.0370483485889326,-0.45100331506310437
-1,-1,1,0,180000.0,1,1.0,1.0,0,0,0,1,0,-0.4037979324256937,-0.44758330478149994
1,1,-1,1,315000.0,1,3.0,0.8571428571428571,0,1,0,0,0,-0.13716617825169833,-0.42093081086278916
-1,-1,1,0,216000.0,1,2.0,1.0,0,1,0,0,0,1.6992600286216946,2.2228550682064934
-1,-1,-1,1,157500.0,1,3.0,1.0,0,1,0,0,0,-1.5374590157976276,-0.4559048384192832
1,-1,-1,1,135000.0,0,3.0,1.0,0,1,0,0,0,0.7505747247079702,2.2228550682064934
1,1,1,1,225000.0,3,3.0,0.35294117647058826,0,1,0,0,0,-1.0822805211720212,-0.4459175239115805
-1,-1,1,0,45000.0,1,2.0,0.35,0,1,0,0,0,1.1219546680217494,2.2228550682064934
-1,-1,1,0,202500.0,1,2.0,1.0,0,1,0,0,0,-0.17716094137779764,-0.40751611536166815
-1,-1,1,0,90000.0,1,2.0,0.7692307692307693,0,1,0,0,0,1.7259232040390942,2.2228550682064934
-1,-1,1,1,157500.0,1,3.0,0.6153846153846154,0,1,0,0,0,-1.3098697684848244,-0.45656083177071166
-1,-1,-1,0,180000.0,1,2.0,0.7058823529411765,1,0,0,0,0,1.0893398909486802,-0.45408427260127393
-1,-1,1,0,157500.0,1,2.0,0.42857142857142855,0,1,0,0,0,1.8528113513379687,2.2228550682064934
1,1,-1,0,1350000.0,3,2.0,1.0,0,1,0,0,0,-0.7085199371959741,-0.4577475163727339
1,1,-1,2,247500.0,1,4.0,0.2727272727272727,0,1,0,0,0,-0.9108743934887384,-0.4678085379985747
-1,-1,-1,0,202500.0,3,2.0,1.0,0,1,0,0,0,0.02971673217327554,-0.4328418811538944
-1,-1,-1,0,81000.0,1,2.0,1.0,0,1,0,0,0,1.0262529133985832,2.2228550682064934
1,-1,1,2,112500.0,1,4.0,1.0,0,1,0,0,0,-0.954916245740693,-0.4376991802391904
-1,1,-1,1,337500.0,3,3.0,0.4166666666666667,0,1,0,0,0,-1.2934433479151763,-0.45003038110368243
-1,-1,1,0,247500.0,3,1.0,0.48148148148148145,0,0,0,0,1,1.7530625075889472,-0.4601577391358474
1,1,1,1,135000.0,1,3.0,0.5,0,1,0,0,0,-1.4777049351747054,-0.45831506118239673
-1,1,-1,0,382500.0,3,2.0,0.5,0,1,0,0,0,-0.1285958718675342,-0.4400209544605383
-1,-1,1,1,121500.0,1,3.0,1.0,0,1,0,0,0,0.6717755187869054,2.2228550682064934
1,1,-1,0,180000.0,1,1.0,0.3157894736842105,0,0,0,1,0,-0.9937206885356584,-0.4480402889139557
-1,-1,1,0,90000.0,1,2.0,0.3103448275862069,0,1,0,0,0,0.8348494041522508,-0.44803291820214186
1,-1,-1,0,247500.0,1,1.0,0.3333333333333333,0,0,0,1,0,-1.3689096569090662,-0.45910372734647364
-1,1,1,1,135000.0,1,3.0,1.0,0,1,0,0,0,-0.42903272344573257,-0.467646382338671
-1,-1,1,0,202500.0,1,2.0,0.6666666666666666,0,1,0,0,0,-0.00813545435678273,-0.42627457692779613
1,1,-1,0,292500.0,1,2.0,1.0,0,1,0,0,0,0.5972614660579227,-0.46584792865610314
1,1,1,1,405000.0,3,3.0,0.7368421052631579,0,1,0,0,0,-1.0577599223506626,-0.43300403681379807
-1,-1,1,0,292500.0,1,2.0,0.1875,0,1,0,0,0,1.2000396817441337,-0.3659231885963792
-1,-1,1,0,369000.0,1,2.0,0.125,0,1,0,0,0,0.4737062156862232,-0.44801080606670046
1,-1,1,0,202500.0,1,2.0,0.3333333333333333,0,1,0,0,0,0.23397570099585413,-0.467049354681753
-1,-1,1,0,247500.0,1,2.0,1.0,1,0,0,0,0,0.44918561686486463,-0.46768323589774
-1,1,1,0,135000.0,1,1.0,1.0,0,0,0,0,1,1.6702162125420272,2.2228550682064934
-1,1,1,2,175500.0,1,4.0,0.2,0,1,0,0,0,0.6429697667734648,-0.4653246081173231
-1,1,1,0,315000.0,1,2.0,1.0,0,1,0,0,0,0.19755189886315655,-0.4633050330803412
-1,-1,-1,0,180000.0,3,1.0,1.0,0,0,0,1,0,1.2417008933338205,2.2228550682064934
-1,1,1,0,135000.0,1,2.0,0.4166666666666667,0,1,0,0,0,-0.505927416836983,-0.4487994722307774
-1,-1,-1,1,81000.0,1,3.0,0.14285714285714285,0,1,0,0,0,-0.4011792276971991,-0.4596049357498122
-1,-1,1,0,315000.0,3,2.0,1.0,0,1,0,0,0,0.08780436433261024,-0.45835191474146575
1,1,-1,0,157500.0,1,2.0,1.0,0,1,0,0,0,-0.24977048157696602,-0.4453499791019177
-1,-1,1,1,126000.0,1,3.0,0.5555555555555556,0,1,0,0,0,0.5153674272759099,-0.43888586484121267
-1,-1,1,0,157500.0,1,1.0,1.0,0,0,1,0,0,-0.4292707875119593,-0.4402715586622076
-1,-1,-1,1,202500.0,1,3.0,1.0,0,1,0,0,0,0.4751346000835838,-0.4425269964772312
1,-1,-1,0,198000.0,1,1.0,1.0,0,0,0,1,0,-1.7421941127526597,-0.4606663182509998
1,-1,1,0,180000.0,1,1.0,0.25,0,0,0,1,0,-1.2298802422326258,-0.45204258542885056
1,1,1,0,202500.0,1,2.0,1.0,0,1,0,0,0,-1.0641876521387859,-0.4615581743804699
-1,-1,1,1,225000.0,3,3.0,1.0,0,1,0,0,0,-0.7056631684012528,-0.45485082662990944
-1,1,-1,0,56250.0,1,2.0,1.0,0,1,0,0,0,1.2776485673340645,2.2228550682064934
-1,-1,1,1,135000.0,1,3.0,1.0,1,0,0,0,0,-1.0494276800327254,-0.4644180105642254
1,-1,-1,0,261000.0,1,2.0,1.0,0,1,0,0,0,-1.158699086430818,-0.45008197608637907
1,-1,-1,0,405000.0,3,2.0,0.32142857142857145,0,1,0,0,0,0.5456015636867112,-0.4541727211430396
-1,-1,1,0,153000.0,1,1.0,1.0,0,0,1,0,0,1.3814445002089413,2.2228550682064934
1,1,-1,0,180000.0,3,2.0,0.10416666666666667,0,1,0,0,0,-1.3101078325510511,-0.44716317420811313
1,1,-1,0,225000.0,1,2.0,0.5,0,1,0,0,0,0.6420175105085577,-0.4509885736394768
-1,-1,1,0,135000.0,1,2.0,1.0,0,1,0,0,0,-0.0331321813105948,-0.4468830871591887
1,1,-1,0,310500.0,3,1.0,0.5714285714285714,0,0,0,1,0,-1.4391385564459667,-0.46427796703976315
-1,-1,-1,0,157500.0,3,2.0,0.38461538461538464,0,1,0,0,0,0.8765106157419376,-0.4566419096006635
-1,-1,1,0,202500.0,1,1.0,0.10256410256410256,0,0,1,0,0,0.7055806161911085,-0.3794779276219625
-1,1,1,0,270000.0,1,2.0,0.17142857142857143,0,1,0,0,0,-0.6856657868382031,-0.45706941088586406
-1,-1,1,0,144000.0,1,1.0,0.16279069767441862,0,0,0,1,0,1.298836269228248,2.2228550682064934
-1,1,1,0,391500.0,1,2.0,1.0,0,1,0,0,0,0.24278407144624503,-0.415704976186803
-1,-1,-1,0,90000.0,1,1.0,0.4,0,0,0,1,0,-1.7698095444349664,-0.4650813746274676
1,1,-1,0,292500.0,1,2.0,1.0,0,1,0,0,0,1.1662345843399307,-0.4491827492450951
-1,1,1,0,135000.0,1,2.0,1.0,0,1,0,0,0,-0.5699666506519873,-0.4502588731699103
1,1,1,0,270000.0,1,1.0,1.0,0,0,0,1,0,-0.5166402998171882,-0.4577696285081753
-1,-1,1,0,103500.0,1,2.0,1.0,0,1,0,0,0,0.5515531653423807,-0.46454331266506005
-1,1,1,1,252000.0,1,2.0,0.6363636363636364,0,0,1,0,0,-1.2541627769877575,-0.4637399050773556
-1,1,1,2,112500.0,1,4.0,0.04,1,0,0,0,0,-0.6301968594073629,-0.42637039618137557
1,1,-1,0,193500.0,1,2.0,1.0,0,1,0,0,0,0.25921049201589297,-0.4550866894079511
-1,-1,1,1,225000.0,1,3.0,0.35294117647058826,0,1,0,0,0,-0.6306729875398165,-0.441974193091196
1,-1,1,0,382500.0,3,2.0,0.37142857142857144,0,1,0,0,0,-1.3900973588032497,-0.46527301313462655
1,-1,1,1,180000.0,3,3.0,1.0,0,1,0,0,0,-0.07265081630424054,-0.45705466946223644
-1,-1,-1,0,153000.0,1,2.0,1.0,0,1,0,0,0,-0.11669266855619513,-0.46261218616984373
1,1,1,2,157500.0,1,4.0,1.0,0,1,0,0,0,-0.1840647992983743,-0.46427796703976315
-1,-1,1,0,202500.0,1,2.0,0.5454545454545454,0,1,0,0,0,1.5099990959714034,-0.4650813746274676
-1,-1,1,1,148500.0,1,3.0,0.47368421052631576,0,1,0,0,0,-0.2123944231793613,-0.4630028338959753
-1,-1,-1,0,180000.0,2,1.0,0.8181818181818182,0,0,0,0,1,0.8698448218875877,-0.4552635864914824
-1,1,-1,0,135000.0,1,2.0,0.36363636363636365,0,1,0,0,0,-1.3165355623391741,-0.46741051956062935
-1,-1,1,0,81000.0,1,2.0,0.2926829268292683,0,1,0,0,0,0.2827788345723443,-0.4452320477128968
-1,-1,1,1,157500.0,1,2.0,1.0,0,0,0,1,0,-0.7854146305872245,-0.4592953658536325
-1,-1,1,0,90000.0,0,2.0,0.11904761904761904,0,1,0,0,0,1.51023716003763,2.2228550682064934
-1,-1,1,0,90000.0,1,1.0,0.2222222222222222,0,0,1,0,0,0.9265040696495617,-0.4639389142963282
1,-1,-1,2,202500.0,1,4.0,0.18518518518518517,0,1,0,0,0,-1.1953609526297424,-0.46375464650098314
-1,-1,1,1,157500.0,1,3.0,1.0,0,1,0,0,0,0.3063471771287957,-0.46108644882438654
1,-1,-1,0,225000.0,3,2.0,0.36,0,1,0,0,0,-0.6532890738313608,-0.4461091624187394
-1,-1,1,2,72000.0,1,4.0,0.11764705882352941,0,1,0,0,0,-0.4737887678963675,-0.451990990446154
1,1,1,1,180000.0,3,3.0,0.034482758620689655,0,1,0,0,0,-1.4317585703929365,-0.4561628133327663
-1,-1,-1,1,112500.0,1,3.0,1.0,1,0,0,0,0,-0.8963524854489048,-0.44899848144975
-1,-1,-1,0,112500.0,1,2.0,1.0,0,1,0,0,0,0.23873698232038976,-0.46319447240313416
1,-1,1,0,180000.0,1,2.0,0.32432432432432434,0,1,0,0,0,0.04519089647801634,-0.46299546318416146
1,1,-1,2,270000.0,1,4.0,1.0,0,1,0,0,0,-0.1828744789672404,-0.44565217828628356
-1,-1,1,2,202500.0,1,4.0,1.0,1,0,0,0,0,-0.5197351326781363,-0.46617223997591045
-1,1,-1,1,162000.0,1,2.0,1.0,0,0,1,0,0,-0.28309945084871546,-0.43533318174695973
-1,-1,1,0,270000.0,3,2.0,0.6451612903225806,0,1,0,0,0,1.5152365054283925,2.2228550682064934
-1,-1,1,1,162000.0,3,3.0,0.20833333333333334,1,0,0,0,0,-0.22572601088806107,-0.46859720416265155
-1,-1,-1,0,99000.0,3,2.0,0.27586206896551724,0,1,0,0,0,-0.31285745912706314,-0.4285521268782612
-1,-1,1,0,81000.0,0,2.0,0.2857142857142857,0,1,0,0,0,1.3869199737321571,2.2228550682064934
-1,-1,1,0,157500.0,1,2.0,0.35714285714285715,1,0,0,0,0,1.3804922439440341,2.2228550682064934
-1,-1,1,0,67500.0,1,1.0,0.9230769230769231,0,0,0,0,1,1.4619101545935935,2.2228550682064934
-1,-1,-1,1,67500.0,1,3.0,1.0,0,1,0,0,0,-0.32285614990858796,-0.4624795133571953
-1,-1,1,0,112500.0,3,1.0,0.23333333333333334,0,0,0,1,0,1.3807303080102609,2.2228550682064934
-1,-1,1,0,103500.0,1,2.0,1.0,0,1,0,0,0,0.2456408402409664,-0.45768117996640967
-1,-1,1,3,207000.0,1,4.0,1.0,0,0,0,0,1,-0.1685906349936335,-0.46584792865610314
-1,1,1,1,144000.0,3,3.0,0.3157894736842105,0,1,0,0,0,-0.7313740875537451,-0.44769386545870693
-1,-1,1,2,202500.0,3,4.0,0.23333333333333334,0,1,0,0,0,-0.5185448123470024,-0.44522467700108304
-1,-1,1,0,139500.0,3,2.0,1.0,0,1,0,0,0,1.2002777458103604,-0.46264903972891275
-1,-1,1,0,292500.0,3,1.0,0.2727272727272727,0,0,0,1,0,-0.16002032860946938,-0.46844978992637554
-1,-1,1,0,103500.0,1,2.0,0.75,0,1,0,0,0,-0.045273448688160654,-0.4596049357498122
-1,-1,-1,0,112500.0,1,2.0,1.0,0,1,0,0,0,0.7722385547346072,-0.4483498588101354
-1,-1,1,0,157500.0,2,2.0,0.72,1,0,0,0,0,-1.3420084174254399,-0.463386110910293
-1,-1,1,0,157500.0,3,2.0,0.3333333333333333,0,1,0,0,0,1.5328532463291744,2.2228550682064934
1,1,1,1,193500.0,1,3.0,1.0,0,1,0,0,0,-1.317963946736535,-0.45266172522121
-1,-1,1,0,135000.0,1,2.0,0.5,0,1,0,0,0,1.6452194855882152,2.2228550682064934
1,1,-1,1,135000.0,1,3.0,1.0,0,1,0,0,0,-1.559837038022945,-0.4588899767038733
-1,-1,-1,0,157500.0,1,1.0,1.0,0,0,0,1,0,-1.5127003529100422,-0.4562070376036491
-1,1,-1,0,225000.0,1,2.0,1.0,1,0,0,0,0,0.08066244234580679,-0.4615802865159113
-1,-1,1,0,157500.0,1,2.0,1.0,0,1,0,0,0,1.3157388179303495,2.2228550682064934
-1,-1,-1,0,270000.0,1,1.0,0.5789473684210527,0,0,1,0,0,0.8065197802712638,-0.37835020871445063
